model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_macro_ovr,inference_latency_ms_per_sample,seed
VitalBoostNet,0.8942148760330578,0.8319217014869188,0.7268037518037517,0.7345604629675734,0.9147225035115801,0.8942148760330578,0.8868963278976272,0.9487308194929799,0.007791246281150721,42
Logistic Regression,0.740495867768595,0.5762728499570605,0.610491822991823,0.5644627449999539,0.8098589941304165,0.740495867768595,0.7633016431640713,0.7399706493886299,0.0008339090908904371,42
Linear SVM-SGD,0.7024793388429752,0.43762243921699645,0.49750481000481,0.434464978024355,0.7566931556030583,0.7024793388429752,0.7166546582436502,,0.0006164413222476402,42
Random Forest,0.8842975206611571,0.816580476281683,0.7567821067821069,0.733015649576713,0.9296264766731935,0.8842975206611571,0.8872171147058061,0.9847739294419099,0.0065677421487123884,42
Extra Trees,0.8876033057851239,0.8176900584795321,0.7055675805675806,0.7056788965198221,0.9155676381035234,0.8876033057851239,0.8798802766568498,0.9603992624282794,0.008502216528841543,42
Majority Dummy,0.7636363636363637,0.2545454545454546,0.3333333333333333,0.288659793814433,0.5831404958677686,0.7636363636363637,0.6612933458294283,0.5,7.337520671645199e-05,42
VitalBoostNet,0.8297520661157025,0.5234767785319256,0.6007519203721735,0.5546297652003465,0.780432415734889,0.8297520661157025,0.7992286842818631,0.8585048370042644,0.007938833057831154,52
Logistic Regression,0.7421487603305785,0.47314247732991505,0.5030185004868549,0.48757314381744926,0.7036514541381758,0.7421487603305785,0.7223362631857162,0.6099787127857513,0.0005161900825750165,52
Linear SVM-SGD,0.7851239669421488,0.5022043686578856,0.546938223520502,0.523613294144022,0.7226057923057433,0.7851239669421488,0.7525641742580321,,0.0005502710743058735,52
Random Forest,0.8528925619834711,0.5425492639254235,0.6293735800064915,0.5751919641510509,0.8083606889378856,0.8528925619834711,0.8219565478548054,0.8801218674517538,0.006241890908929859,52
Extra Trees,0.8727272727272727,0.5520366978700312,0.6188142378015796,0.5828171816270246,0.8011797545888454,0.8727272727272727,0.8346783292785642,0.8654885630943062,0.007966927272688683,52
Majority Dummy,0.6528925619834711,0.21763085399449036,0.3333333333333333,0.26333333333333336,0.4262686974933406,0.6528925619834711,0.5157851239669422,0.5,7.129090906444106e-05,52
VitalBoostNet,0.8181818181818182,0.747590881525649,0.8509456590497483,0.757905963233828,0.8821197913724338,0.8181818181818182,0.836381108719145,0.9173474484259786,0.007533785124034078,62
Logistic Regression,0.6214876033057851,0.5582510036231043,0.5796337986672558,0.5421803830613929,0.7036033698194903,0.6214876033057851,0.6517106587782728,0.7416503869511293,0.0005279471074309862,62
Linear SVM-SGD,0.6049586776859505,0.5590357149952934,0.5532430394883927,0.5162460995794329,0.7228906982233383,0.6049586776859505,0.6366317184499002,,0.0006763454546085424,62
Random Forest,0.9173553719008265,0.8367815173880725,0.919131030060398,0.8632519055992233,0.9376089246828461,0.9173553719008265,0.9228805968611834,0.967928757764283,0.006885442975213995,62
Extra Trees,0.8198347107438017,0.7509925103384233,0.8342312458297588,0.7537990744887296,0.879726376640329,0.8198347107438017,0.8254120573071841,0.9531865903738712,0.0077928512395795055,62
Majority Dummy,0.4446280991735537,0.14820936639118457,0.3333333333333333,0.2051868802440885,0.19769414657468753,0.4446280991735537,0.273695557614842,0.5,6.0003305805381866e-05,62
